id,mask_rle
TEST_0000_class_0,44 111 280 81 408 43 700 98 1004 111 1240 81 1368 43 1660 98 1951 137 2187 210 2624 98 2911 137 3147 210 3584 98 3871 137 4107 210 4544 98 4818 167 5058 219 5508 99 5778 167 6018 219 6468 99 6734 180 6927 8 6970 231 7428 99 7694 180 7887 8 7930 231 8388 99 8654 180 8847 8 8890 231 9348 99 9610 471 10308 99 10570 471 11268 99 11521 484 12228 99 12481 484 13188 99 13441 489 14144 103 14401 489 15104 103 15361 489 16064 103 16321 493 17024 103 17281 493 17984 103 18241 497 18944 103 19201 497 19904 103 20161 497 20864 103 21121 506 21815 116 22081 506 22775 116 23041 510 23722 138 24001 510 24682 138 24961 510 25642 138 25921 514 26594 158 26881 514 27554 158 27841 523 28510 171 28801 523 29470 171 29761 553 30421 184 30678 26 30721 553 31381 184 31638 26 31681 553 32341 184 32598 26 32641 566 33292 202 33550 42 33601 566 34252 202 34510 42 34561 583 35187 244 35444 68 35521 583 36147 244 36404 68 36481 583 37107 244 37364 68 37441 609 38054 343 38401 609 39014 343 39361 479040
TEST_0000_class_1,-1
TEST_0000_class_2,-1
TEST_0000_class_3,-1
TEST_0000_class_4,-1
TEST_0000_class_5,-1
TEST_0000_class_6,-1
TEST_0000_class_7,1 43 155 125 361 47 961 43 1115 125 1321 47 1921 30 2088 99 2881 30 3048 99 3841 30 4008 99 4801 17 4985 73 5761 17 5945 73 6721 13 6914 13 6935 35 7681 13 7874 13 7895 35 8641 13 8834 13 8855 35 9601 9 10561 9
TEST_0000_class_8,-1
TEST_0000_class_9,-1
TEST_0000_class_10,-1
TEST_0000_class_11,451 249 798 163 1411 249 1758 163 2397 227 2722 159 3357 227 3682 159 4317 227 4642 159 5277 231 5607 154 6237 231 6567 154 7201 227 7527 154 8161 227 8487 154 9121 227 9447 154 10081 227 10407 154 11041 227 11367 154 12005 223 12327 154 12965 223 13287 154 13930 214 14247 154 14890 214 15207 154 15850 214 16167 154 16814 210 17127 154 17774 210 18087 154 18738 206 19047 154 19698 206 20007 154 20658 206 20967 154 21627 188 21931 150 22587 188 22891 150 23551 171 23860 141 24511 171 24820 141 25471 171 25780 141 26435 159 26752 129 27395 159 27712 129 28364 146 28681 120 29324 146 29641 120 30314 107 30605 73 30704 17 31274 107 31565 73 31664 17 32234 107 32525 73 32624 17 33207 85 33494 56 33592 9 34167 85 34454 56 34552 9 35144 43 35431 13 35512 9 36104 43 36391 13 36472 9 37064 43 37351 13 37432 9 38050 4 38397 4 39010 4 39357 4
TEST_0001_class_0,1 13 134 26 164 56 451 30 961 13 1094 26 1124 56 1411 30 1921 9 2050 90 2362 56 2881 9 3010 90 3322 56 3841 9 3970 90 4282 56 4801 4 4917 107 5234 73 5761 4 5877 107 6194 73 6828 116 7120 4 7150 77 7788 116 8080 4 8110 77 8748 116 9040 4 9070 77 9652 176 9991 21 10025 82 10111 17 10612 176 10951 21 10985 82 11071 17 11572 215 11885 167 12532 215 12845 167 13497 30 13531 180 13797 184 14457 30 14491 180 14757 184 15417 30 15451 180 15717 184 16377 30 16415 180 16668 197 17337 30 17375 180 17628 197 18297 25 18335 180 18532 9 18584 201 19257 25 19295 180 19492 9 19544 201 20217 25 20255 180 20452 9 20504 201 21177 248 21460 210 22137 248 22420 210 23041 4 23097 253 23371 227 24001 4 24057 253 24331 227 24961 4 25017 253 25291 227 25921 9 25977 510 26881 9 26937 510 27841 13 27897 518 28801 13 28857 518 29761 13 29817 540 30721 13 30777 540 31681 13 31737 540 32641 13 32692 553 33601 13 33652 553 34561 13 34612 562 35521 13 35572 562 36481 13 36532 562 37441 13 37492 570 38401 13 38452 570 39361 26 39404 587 40321 26 40364 587 41281 639 42241 639 43201 639 44161 651 45121 651 46081 664 47041 664 48001 664 48961 673 49921 673 50881 677 51841 677 52801 681 53761 681 54721 681 55681 686 56641 686 57601 694 58561 694 59521 694 60481 707 61441 707 62401 741 63361 741 64321 741 65281 763 66241 763 67201 784 68161 784 69121 831 70081 831 71041 831 72001 857 72961 857 73921 874 74881 874 75841 874 76801 887 77761 887 78721 917 79681 917 80641 939 81584 956 82544 956 83504 434897
TEST_0001_class_1,-1
TEST_0001_class_2,14 120 160 4 220 231 481 480 974 120 1120 4 1180 231 1441 480 1930 120 2140 222 2418 463 2890 120 3100 222 3378 463 3850 120 4060 222 4338 463 4805 112 5024 210 5307 454 5765 112 5984 210 6267 561 6944 176 7124 26 7227 561 7904 176 8084 26 8187 561 8864 176 9044 26 9147 505 9828 163 10012 13 10107 4 10128 484 10788 163 10972 13 11067 4 11088 484 11787 98 12052 480 12747 98 13012 485 13527 4 13711 86 13981 476 14487 4 14671 86 14941 476 15447 4 15631 86 15901 476 16407 8 16595 73 16865 472 17367 8 17555 73 17825 472 18322 13 18515 17 18541 43 18785 472 19282 13 19475 17 19501 43 19745 472 20242 13 20435 17 20461 43 20705 472 21425 35 21670 467 22385 35 22630 411 23045 52 23350 21 23598 403 24005 52 24310 21 24558 403 24965 52 25270 21 25518 403 25930 47 26487 394 26890 47 27447 394 27854 43 28415 386 28814 43 29375 386 29774 43 30357 364 30734 43 31317 364 31694 43 32277 364 32654 38 33245 356 33614 38 34205 356 34574 38 35174 347 35534 38 36134 347 36494 38 37094 347 37454 38 38062 339 38414 38 39022 339 39387 17 39991 330 40347 17 40951 330 41920 321 42880 321 43840 321 44812 309 45772 309 46745 296 47705 296 48665 296 49634 287 50594 287 51558 283 52518 283 53482 279 54442 279 55402 279 56367 274 57327 274 58295 266 59255 266 60215 266 61188 253 62148 253 63142 219 64102 219 65062 219 66044 197 67004 197 67985 176 68945 176 69952 129 70912 129 71872 129 72858 103 73818 103 74795 86 75755 86 76715 86 77688 73 78648 73 79638 43 80598 43 81580 4 82540 4 83500 4
TEST_0001_class_3,-1
TEST_0001_class_4,-1
TEST_0001_class_5,-1
TEST_0001_class_6,-1
TEST_0001_class_7,-1
TEST_0001_class_8,-1
TEST_0001_class_9,-1
TEST_0001_class_10,-1
TEST_0001_class_11,-1
TEST_0002_class_0,14058 52 15018 52 15978 52 16407 25 16925 73 17367 25 17885 73 18310 120 18837 85 19270 120 19797 85 20230 120 20757 85 21160 240 21404 34 21670 141 22120 240 22364 34 22630 141 23041 330 23538 202 23945 13 24001 330 24498 202 24905 13 24961 330 25458 202 25865 13 25921 347 26294 26 26350 8 26401 223 26808 30 26881 347 27254 26 27310 8 27361 223 27768 30 27841 416 28261 291 28694 68 28801 416 29221 291 29654 68 29761 720 30605 82 30721 720 31565 82 31681 720 32525 82 32641 741 33464 107 33601 741 34424 107 34561 763 35345 146 35521 763 36305 146 36481 763 37265 146 37441 934 38401 934 39361 479040
TEST_0002_class_1,-1
TEST_0002_class_2,395 549 1355 549 2315 549 3275 549 4235 549 5195 549 6155 549 7120 544 8080 544 9040 544 10000 544 10960 544 11924 540 12884 540 13852 206 14110 265 14812 206 15070 265 15772 206 16030 265 16737 188 16998 249 17697 188 17958 249 18661 176 18922 240 19621 176 19882 240 20581 176 20842 240 21545 125 21811 227 22505 125 22771 227 23470 68 23740 205 24430 68 24700 205 25390 68 25660 205 26358 43 26624 184 27318 43 27584 184 28552 142 29512 142 30481 124 31441 124 32401 124 33382 82 34342 82 35324 21 36284 21 37244 21
TEST_0002_class_3,-1
TEST_0002_class_4,-1
TEST_0002_class_5,-1
TEST_0002_class_6,-1
TEST_0002_class_7,1 394 944 411 1904 411 2864 411 3824 411 4784 411 5744 411 6704 416 7664 416 8624 416 9584 416 10544 416 11504 420 12464 420 13424 428 14375 437 15335 437 16295 112 16432 305 17247 120 17392 305 18207 103 18430 231 19162 108 19390 231 20122 108 20350 231 21082 78 21400 4 21438 107 22038 82 22360 4 22398 107 22998 43 23371 99 23958 43 24331 99 24918 43 25291 99 25878 43 26268 26 26320 30 26838 43 27228 26 27280 30 27798 43 28257 4 28762 39 29217 4 29722 39 30687 34 31647 34 32607 34 33571 30 34531 30 35491 30 36451 30 37411 30 38375 26 39335 26
TEST_0002_class_8,-1
TEST_0002_class_9,-1
TEST_0002_class_10,-1
TEST_0002_class_11,-1
TEST_0003_class_0,28750 12 28797 4 29710 12 29757 4 30648 47 30708 13 31608 47 31668 13 32568 47 32628 13 33524 77 34484 77 35440 81 36400 81 37360 81 38315 86 39275 86 39481 34 39520 72 40231 90 40441 34 40480 72 41191 90 41320 214 42138 103 42280 214 43098 103 43240 214 44058 369 44692 18 45010 377 45652 18 45970 428 46570 72 46921 437 47530 72 47881 437 48490 72 48841 519 49372 155 49797 523 50332 155 50757 703 51481 17 51708 712 52441 17 52668 780 53624 784 54584 784 55544 861 56418 17 56491 874 57378 17 57451 460950
TEST_0003_class_1,-1
TEST_0003_class_2,-1
TEST_0003_class_3,-1
TEST_0003_class_4,-1
TEST_0003_class_5,-1
TEST_0003_class_6,-1
TEST_0003_class_7,1 544 884 621 1844 621 2808 617 3768 617 4728 617 5705 600 6665 600 7630 595 8590 595 9550 595 10510 47 10561 544 11470 47 11521 544 12430 47 12481 544 13390 47 13441 544 14350 47 14401 544 15310 47 15361 544 16270 47 16321 544 17230 42 17281 544 18190 42 18241 549 19145 47 19201 549 20105 47 20161 549 21065 47 21121 544 22030 42 22081 544 22990 42 23041 544 23950 47 24001 544 24910 47 24961 544 25870 47 25921 544 26830 47 26881 544 27790 47 27841 544 28762 35 28801 544 29722 35 29761 544 30695 13 30721 544 31655 13 31681 544 32615 13 32641 544 33601 544 34561 549 35521 549 36481 549 37441 549 38401 549 39361 120 39515 5 39592 318 40321 120 40475 5 40552 318 41281 39 41534 291 42241 39 42494 291 43201 39 43454 291 44427 265 45387 265 46398 172 47358 172 48318 172 49360 12 50320 12
TEST_0003_class_8,-1
TEST_0003_class_9,-1
TEST_0003_class_10,-1
TEST_0003_class_11,545 339 1505 339 2465 343 3425 343 4385 343 5345 360 6305 360 7265 365 8225 365 9185 365 10145 365 10557 4 11105 365 11517 4 12065 365 12477 4 13025 365 13437 4 13985 365 14397 4 14945 365 15357 4 15905 365 16317 4 16865 365 17272 9 17825 365 18232 9 18790 355 19192 9 19750 355 20152 9 20710 355 21112 9 21665 365 22072 9 22625 365 23032 9 23585 365 23997 4 24545 365 24957 4 25505 365 25917 4 26465 365 26877 4 27425 365 27837 4 28385 365 29345 365 30305 343 31265 343 32225 343 33185 339 34145 339 35110 330 36070 330 37030 330 37990 325 38950 325 39910 321 40870 321 41825 313 42785 313 43745 313 44710 300 45670 300 46642 279 47602 279 48562 279 49527 270 50487 270 51460 21 51498 210 52420 21 52458 210 53448 176 54408 176 55368 176 56405 13 56435 56 57365 13 57395 56
TEST_0004_class_0,1 446 712 52 961 446 1672 52 1921 454 2632 60 2881 454 3592 60 3841 454 4552 60 4801 467 5508 69 5761 467 6468 69 6721 484 7428 73 7681 484 8388 73 8641 484 9348 73 9601 493 10304 77 10561 493 11264 77 11521 493 12224 77 12481 493 13184 77 13441 497 14140 90 14401 497 15100 90 15361 497 16060 90 16321 497 17015 99 17281 497 17975 99 18241 501 18931 107 19201 501 19891 107 20161 501 20851 107 21121 510 21802 120 22081 510 22762 120 23041 527 23714 133 24001 527 24674 133 24961 527 25634 133 25921 536 26572 159 26881 536 27532 159 27841 540 28390 8 28475 176 28801 540 29350 8 29435 176 29761 566 30370 205 30721 566 31330 205 31681 566 32290 205 32641 583 33237 218 33601 583 34197 218 34561 819 35521 819 36481 819 37441 819 38401 819 39361 819 40321 819 41281 823 42241 823 43201 823 44161 823 45121 823 46081 823 47041 823 48001 823 48961 827 49921 827 50881 831 51841 831 52801 831 53761 831 54721 831 55681 836 56641 836 57601 840 58561 840 59521 840 60481 844 61441 844 62401 853 63361 853 64321 853 65281 866 66241 866 67201 451200
TEST_0004_class_1,-1
TEST_0004_class_2,-1
TEST_0004_class_3,-1
TEST_0004_class_4,-1
TEST_0004_class_5,-1
TEST_0004_class_6,-1
TEST_0004_class_7,-1
TEST_0004_class_8,-1
TEST_0004_class_9,-1
TEST_0004_class_10,-1
TEST_0004_class_11,447 265 764 197 1407 265 1724 197 2375 257 2692 189 3335 257 3652 189 4295 257 4612 189 5268 240 5577 184 6228 240 6537 184 7205 223 7501 180 8165 223 8461 180 9125 223 9421 180 10094 210 10381 180 11054 210 11341 180 12014 210 12301 180 12974 210 13261 180 13938 202 14230 171 14898 202 15190 171 15858 202 16150 171 16818 197 17114 167 17778 197 18074 167 18742 189 19038 163 19702 189 19998 163 20662 189 20958 163 21631 171 21922 159 22591 171 22882 159 23568 146 23847 154 24528 146 24807 154 25488 146 25767 154 26457 115 26731 150 27417 115 27691 150 28381 9 28398 77 28651 150 29341 9 29358 77 29611 150 30327 43 30575 146 31287 43 31535 146 32247 43 32495 146 33224 13 33455 146 34184 13 34415 146 35380 141 36340 141 37300 141 38260 141 39220 141 40180 141 41140 141 42104 137 43064 137 44024 137 44984 137 45944 137 46904 137 47864 137 48824 137 49788 133 50748 133 51712 129 52672 129 53632 129 54592 129 55552 129 56517 124 57477 124 58441 120 59401 120 60361 120 61325 116 62285 116 63254 107 64214 107 65174 107 66147 94 67107 94
TEST_0005_class_0,1 518400
TEST_0005_class_1,-1
TEST_0005_class_2,-1
TEST_0005_class_3,-1
TEST_0005_class_4,-1
TEST_0005_class_5,-1
TEST_0005_class_6,-1
TEST_0005_class_7,-1
TEST_0005_class_8,-1
TEST_0005_class_9,-1
TEST_0005_class_10,-1
TEST_0005_class_11,-1
TEST_0006_class_0,1 146 198 373 961 146 1158 373 1921 150 2114 377 2881 150 3074 377 3841 150 4034 377 4801 163 4994 373 5761 163 5954 373 6721 566 7681 566 8641 566 9601 561 10514 17 10561 561 11474 17 11521 553 12434 21 12481 553 13394 21 13441 544 14350 30 14397 548 15310 30 15357 548 16270 30 16317 544 17230 591 18190 582 19150 582 20110 582 21070 574 22030 574 22990 570 23950 570 24910 570 25870 565 26830 565 27790 565 28711 4 28750 565 29671 4 29710 565 30627 13 30652 583 31587 13 31612 583 32547 13 32572 583 33507 608 34467 613 35422 618 36382 618 37342 618 38302 618 39262 618 40214 626 41174 626 42121 639 43081 639 44041 643 44992 652 45952 652 46612 13 46900 664 47572 13 47860 664 48532 13 48820 690 49775 695 50735 695 51618 17 51691 699 52578 17 52651 699 53530 34 53602 708 54490 34 54562 708 55450 34 55522 708 56401 51 56474 716 57361 51 57434 728 58317 805 59277 805 60237 814 61188 823 62148 887 63104 891 64064 891 65024 900 65928 956 66888 451513
TEST_0006_class_1,-1
TEST_0006_class_2,-1
TEST_0006_class_3,-1
TEST_0006_class_4,-1
TEST_0006_class_5,-1
TEST_0006_class_6,-1
TEST_0006_class_7,-1
TEST_0006_class_8,-1
TEST_0006_class_9,-1
TEST_0006_class_10,-1
